date,e2,v1,proportion,proportion_se,proportion_deff,n,unw_prop
2021-01-10,Town,No,0.9724215933068514,0.01265745808428189,1.8280799026467238,300,0.17647058823529413
2021-01-10,Village or rural area,Yes,0.042413101950115537,0.010823197924353075,1.1998600032416962,19,0.011176470588235295
2021-01-10,Village or rural area,No,0.9575868980498844,0.010823197924353073,1.1998600032416957,398,0.23411764705882354
2021-01-11,City,Yes,0.016633605976490693,0.0047937901972280655,1.2251159896089157,17,0.01119157340355497
2021-01-11,City,No,0.9833663940235093,0.004793790197228065,1.2251159896089154,856,0.5635286372613562
2021-01-11,Town,Yes,0.009784922894591484,0.005784296207481739,0.9599821854151953,4,0.0026333113890717576
2021-01-11,Town,No,0.9902150771054085,0.005784296207481739,0.9599821854151953,275,0.18104015799868334
2021-01-11,Village or rural area,Yes,0.03144122987873494,0.009706474177535153,1.1323556673829214,13,0.008558262014483212
2021-01-11,Village or rural area,No,0.9685587701212651,0.009706474177535153,1.1323556673829211,354,0.23304805793285055
2021-01-12,City,Yes,0.017477609238047337,0.00450428040539607,1.0680695240771878,22,0.013422818791946308
2021-01-12,City,No,0.9825223907619526,0.00450428040539607,1.0680695240771878,883,0.5387431360585723
2021-01-12,Town,Yes,0.01546595355715898,0.006768278666607359,0.9416682294286969,8,0.004881025015253203
2021-01-12,Town,No,0.984534046442841,0.006768278666607359,0.9416682294286969,306,0.18669920683343502
2021-01-12,Village or rural area,Yes,0.05066362835008884,0.01312637035187302,1.5010360958136286,20,0.012202562538133009
2021-01-12,Village or rural area,No,0.9493363716499111,0.013126370351873022,1.5010360958136293,400,0.24405125076266015
2021-01-13,City,Yes,0.029091725861982574,0.007333874447622726,1.6700268945237864,24,0.014796547472256474
2021-01-13,City,No,0.9709082741380175,0.007333874447622727,1.6700268945237868,854,0.5265104808877928
2021-01-13,Town,Yes,0.027063176804432716,0.011670182693246068,1.8000109729061355,8,0.004932182490752158
2021-01-13,Town,No,0.9729368231955673,0.011670182693246068,1.8000109729061355,341,0.21023427866831074
2021-01-13,Village or rural area,Yes,0.0423377045508357,0.011982347302687718,1.3952258842657919,15,0.009247842170160296
2021-01-13,Village or rural area,No,0.9576622954491643,0.01198234730268772,1.395225884265792,380,0.2342786683107275
2021-01-14,City,Yes,0.017135507826327716,0.005402119399297937,1.484988104947166,15,0.009778357235984355
2021-01-14,City,No,0.9828644921736723,0.005402119399297936,1.4849881049471656,843,0.5495436766623207
2021-01-14,Town,Yes,0.016651020697723683,0.009066013706541668,1.561165595931199,4,0.002607561929595828
2021-01-14,Town,No,0.9833489793022763,0.009066013706541668,1.5611655959311992,308,0.20078226857887874
2021-01-14,Village or rural area,Yes,0.03736875856847871,0.012095694747103699,1.4763988482408754,16,0.010430247718383311
2021-01-14,Village or rural area,No,0.9626312414315213,0.012095694747103699,1.4763988482408752,348,0.22685788787483702
2021-01-15,City,Yes,0.018552740700096396,0.006192067853604865,1.7666993825826252,14,0.009453072248480757
2021-01-15,City,No,0.9814472592999036,0.006192067853604865,1.7666993825826252,826,0.5577312626603647
2021-01-15,Town,Yes,0.0011705258896243496,0.0011721361164835412,0.3302129237090032,1,6.752194463200541e-4
2021-01-15,Town,No,0.9988294741103757,0.0011721361164835412,0.33021292370900307,281,0.18973666441593517
2021-01-15,Village or rural area,Yes,0.005886483706259217,0.0030260298149731245,0.5601978243927942,4,0.0027008777852802163
2021-01-15,Village or rural area,No,0.9941135162937407,0.0030260298149731254,0.5601978243927944,355,0.23970290344361916
2021-01-16,City,Yes,0.01916097294918391,0.005923800873909115,1.628194373168399,13,0.008
2021-01-16,City,No,0.980839027050816,0.005923800873909115,1.628194373168399,860,0.5292307692307693
2021-01-16,Town,Yes,0.03408991280910994,0.012108558405912724,1.4515894069349526,9,0.005538461538461538
2021-01-16,Town,No,0.9659100871908901,0.012108558405912724,1.4515894069349526,318,0.1956923076923077
2021-01-16,Village or rural area,Yes,0.02936286573469969,0.01055343216283085,1.65692163774986,10,0.006153846153846154
2021-01-16,Village or rural area,No,0.9706371342653003,0.01055343216283085,1.65692163774986,415,0.2553846153846154
2021-01-17,City,Yes,0.014411420729420745,0.0037136734090581314,0.8806770144960363,20,0.012698412698412698
2021-01-17,City,No,0.9855885792705793,0.003713673409058131,0.8806770144960361,888,0.5638095238095238
2021-01-17,Town,Yes,0.013796118531199348,0.006858646161220533,1.0337810918150916,5,0.0031746031746031746
2021-01-17,Town,No,0.9862038814688007,0.006858646161220533,1.0337810918150916,295,0.1873015873015873
2021-01-17,Village or rural area,Yes,0.013098189280797588,0.006418653776563899,1.166508264848422,5,0.0031746031746031746
2021-01-17,Village or rural area,No,0.9869018107192025,0.006418653776563898,1.1665082648484215,362,0.22984126984126985
2021-01-18,City,Yes,0.017104277889780653,0.0050402811269806965,1.3116609519520561,16,0.010184595798854232
2021-01-18,City,No,0.9828957221102194,0.0050402811269806965,1.3116609519520561,853,0.5429662635264163
2021-01-18,Town,Yes,0.02303013256854745,0.011026027930127573,1.6642378839331107,7,0.004455760661998727
2021-01-18,Town,No,0.9769698674314526,0.011026027930127575,1.664237883933111,302,0.19223424570337364
2021-01-18,Village or rural area,Yes,0.017536894927156887,0.007726486513671184,1.3582668928126498,7,0.004455760661998727
2021-01-18,Village or rural area,No,0.9824631050728432,0.007726486513671183,1.3582668928126496,386,0.24570337364735836
2021-01-19,City,Yes,0.012086190041773198,0.0038151456687561254,1.1093266920113323,14,0.008674101610904586
2021-01-19,City,No,0.9879138099582269,0.0038151456687561254,1.1093266920113325,897,0.5557620817843866
2021-01-19,Town,Yes,0.016050822146305363,0.008414569778076452,1.4122394704016363,9,0.0055762081784386614
2021-01-19,Town,No,0.9839491778536947,0.008414569778076454,1.4122394704016366,307,0.19021065675340768
2021-01-19,Village or rural area,Yes,0.03638227328678567,0.01070743564423149,1.2623142331610229,15,0.00929368029739777
2021-01-19,Village or rural area,No,0.9636177267132143,0.01070743564423149,1.2623142331610229,372,0.23048327137546468
2021-01-20,City,Yes,0.01781142395513487,0.004420900512315884,0.9842565873446514,20,0.011947431302270013
2021-01-20,City,No,0.9821885760448652,0.004420900512315885,0.9842565873446516,862,0.5149342891278376
2021-01-20,Town,Yes,0.02619980776933833,0.009604510871420377,1.3305600437077703,12,0.007168458781362007
2021-01-20,Town,No,0.9738001922306617,0.009604510871420377,1.3305600437077703,357,0.2132616487455197
2021-01-20,Village or rural area,Yes,0.0327083540787694,0.010494428091941205,1.4689870791816644,13,0.007765830346475508
2021-01-20,Village or rural area,No,0.9672916459212306,0.010494428091941205,1.4689870791816644,410,0.24492234169653523
2021-01-21,City,Yes,0.02143143442619769,0.005804321052225133,1.6064412178035314,19,0.010925819436457734
2021-01-21,City,No,0.9785685655738022,0.0058043210522251325,1.6064412178035312,982,0.5646923519263944
2021-01-21,Town,Yes,0.029646036373339853,0.012193166659151607,1.684836727512033,10,0.005750431282346176
2021-01-21,Town,No,0.9703539636266602,0.012193166659151607,1.684836727512033,317,0.18228867165037377
2021-01-21,Village or rural area,Yes,0.0376632417316805,0.010610787623396171,1.2736160524440332,17,0.0097757331799885
2021-01-21,Village or rural area,No,0.9623367582683194,0.01061078762339617,1.2736160524440332,394,0.22656699252443932
2021-01-22,City,Yes,0.013492706244318371,0.003455042790431141,0.9533287506902425,27,0.014055179593961478
2021-01-22,City,No,0.9865072937556817,0.003455042790431141,0.9533287506902424,1037,0.5398230088495575
2021-01-22,Town,Yes,0.046299500094767077,0.021698088749518164,4.371602020138714,9,0.004685059864653826
2021-01-22,Town,No,0.953700499905233,0.02169808874951816,4.371602020138716,402,0.2092660072878709
2021-01-22,Village or rural area,Yes,0.018417333937767885,0.006096458297425667,0.9148803754272856,13,0.00676730869338886
2021-01-22,Village or rural area,No,0.981582666062232,0.006096458297425669,0.914880375427286,433,0.22540343571056742
2021-01-23,City,Yes,0.02970266235744128,0.007005087699174888,1.9291189764567367,39,0.01935483870967742
2021-01-23,City,No,0.9702973376425588,0.007005087699174887,1.929118976456736,1095,0.543424317617866
2021-01-23,Town,Yes,0.05593187093980471,0.01606407498736629,2.003709537740855,26,0.012903225806451613
2021-01-23,Town,No,0.9440681290601953,0.01606407498736629,2.003709537740855,385,0.19106699751861042
2021-01-23,Village or rural area,Yes,0.022376698380069882,0.006982604794423688,1.045304370760485,16,0.00794044665012407
2021-01-23,Village or rural area,No,0.9776233016199302,0.006982604794423687,1.0453043707604848,454,0.22531017369727047
2021-01-24,City,Yes,0.048511508552740945,0.013993367452800486,4.793764229809588,43,0.02135054617676266
2021-01-24,City,No,0.951488491447259,0.013993367452800486,4.793764229809589,1088,0.5402184707050646
2021-01-24,Town,Yes,0.048128093264484056,0.013212652453063327,1.4709309450826502,20,0.009930486593843098
2021-01-24,Town,No,0.9518719067355159,0.013212652453063327,1.4709309450826502,367,0.18222442899702085
2021-01-24,Village or rural area,Yes,0.025909382105621513,0.014941582778294363,4.378691795697766,8,0.003972194637537239
2021-01-24,Village or rural area,No,0.9740906178943786,0.014941582778294365,4.378691795697767,488,0.2423038728897716
2021-01-25,City,Yes,0.040235107858360375,0.009901492119780034,2.813020860059345,51,0.025718608169440244
2021-01-25,City,No,0.9597648921416396,0.009901492119780034,2.813020860059345,1058,0.5335350479072113
2021-01-25,Town,Yes,0.042500959746061336,0.012541606935523327,1.4919653145862353,21,0.01059001512859304
2021-01-25,Town,No,0.9574990402539386,0.01254160693552333,1.4919653145862357,366,0.18456883509833585
2021-01-25,Village or rural area,Yes,0.046875105913120975,0.011911737543793767,1.5434643171738822,24,0.012102874432677761
2021-01-25,Village or rural area,No,0.953124894086879,0.011911737543793769,1.5434643171738824,463,0.2334846192637418
2021-01-26,City,Yes,0.014240109216082012,0.004291545271532628,1.4025636626774018,29,0.015838339705079193
2021-01-26,City,No,0.9857598907839179,0.004291545271532621,1.4025636626773972,1041,0.5685417804478428
2021-01-26,Town,Yes,0.024962692655131354,0.009062811371600882,1.1372215533208982,15,0.008192244675040962
2021-01-26,Town,No,0.9750373073448686,0.009062811371600884,1.1372215533208985,323,0.17640633533588204
2021-01-26,Village or rural area,Yes,0.027590119285139044,0.010180070375194566,1.630096126967763,15,0.008192244675040962
2021-01-26,Village or rural area,No,0.972409880714861,0.010180070375194564,1.6300961269677627,408,0.22282905516111415
2021-01-27,City,Yes,0.03399250707138364,0.007016914371235242,1.6238996447483631,45,0.022123893805309734
2021-01-27,City,No,0.9660074929286164,0.007016914371235241,1.6238996447483627,1039,0.5108161258603736
2021-01-27,Town,Yes,0.07078898808357492,0.02746542739551966,5.080408040036257,26,0.012782694198623401
2021-01-27,Town,No,0.9292110119164251,0.02746542739551966,5.080408040036257,418,0.2055063913470993
2021-01-27,Village or rural area,Yes,0.07371301568886163,0.026283359840965498,5.109351295325244,28,0.01376597836774828
2021-01-27,Village or rural area,No,0.9262869843111383,0.026283359840965498,5.109351295325244,478,0.23500491642084562
2021-01-28,City,Yes,0.029016477535187747,0.00516431644077317,1.0336982001957855,48,0.02524986849026828
2021-01-28,City,No,0.9709835224648122,0.00516431644077317,1.0336982001957857,1045,0.5497106785902157
2021-01-28,Town,Yes,0.05097817608704499,0.013316012674893529,1.4330682772428103,25,0.013150973172014729
2021-01-28,Town,No,0.949021823912955,0.013316012674893529,1.4330682772428105,367,0.19305628616517623
2021-01-28,Village or rural area,Yes,0.056463891325394575,0.02074166362920177,3.3512619383121787,18,0.009468700683850605
2021-01-28,Village or rural area,No,0.9435361086746054,0.020741663629201768,3.351261938312178,398,0.20936349289847447
2021-01-29,City,Yes,0.05841862331212235,0.01724440593356616,4.719578465016857,46,0.028785982478097622
2021-01-29,City,No,0.9415813766878777,0.01724440593356616,4.719578465016857,828,0.5181476846057572
2021-01-29,Town,Yes,0.044737010965852815,0.014840598952741563,1.5976308997610782,20,0.012515644555694618
2021-01-29,Town,No,0.9552629890341471,0.014840598952741564,1.5976308997610786,291,0.1821026282853567
2021-01-29,Village or rural area,Yes,0.0826487668608527,0.02666203611887773,3.862904356156864,23,0.014392991239048811
2021-01-29,Village or rural area,No,0.9173512331391472,0.026662036118877727,3.8629043561568626,390,0.24405506883604505
2021-01-30,City,Yes,0.051824583156589374,0.012602336571626415,3.2482203294358,54,0.028846153846153848
2021-01-30,City,No,0.9481754168434106,0.012602336571626413,3.2482203294357994,952,0.5085470085470085
2021-01-30,Town,Yes,0.08579845190883609,0.02024540811260868,2.220866677432724,39,0.020833333333333332
2021-01-30,Town,No,0.9142015480911638,0.02024540811260868,2.2208666774327237,387,0.20673076923076922
2021-01-30,Village or rural area,Yes,0.0435939086122852,0.009921522587813895,1.036466508824544,29,0.015491452991452992
2021-01-30,Village or rural area,No,0.9564060913877148,0.009921522587813895,1.036466508824544,411,0.21955128205128205
2021-01-31,City,Yes,0.06328169595374186,0.012069615941522638,2.4526314705506365,55,0.030120481927710843
2021-01-31,City,No,0.9367183040462581,0.01206961594152264,2.452631470550637,944,0.5169769989047097
2021-01-31,Town,Yes,0.06035211764889664,0.02010689492456035,2.8159920229633886,26,0.014238773274917854
2021-01-31,Town,No,0.9396478823511034,0.02010689492456035,2.8159920229633895,370,0.20262869660460023
2021-01-31,Village or rural area,Yes,0.03938267949844112,0.011072351870253346,1.3934606386079063,22,0.012048192771084338
2021-01-31,Village or rural area,No,0.9606173205015589,0.011072351870253346,1.3934606386079063,409,0.223986856516977
2021-02-01,City,Yes,0.045279194824303697,0.010245836924956276,1.4886119183884643,35,0.03228782287822878
2021-02-01,City,No,0.9547208051756964,0.010245836924956274,1.4886119183884639,579,0.5341328413284133
2021-02-01,Town,Yes,0.06128505284069025,0.02713310559761252,3.0201197967811213,7,0.006457564575645757
2021-02-01,Town,No,0.9387149471593098,0.027133105597612523,3.0201197967811213,230,0.21217712177121772
2021-02-01,Village or rural area,Yes,0.04798972414684046,0.014791475160152818,1.1110218526649482,16,0.014760147601476014
2021-02-01,Village or rural area,No,0.9520102758531596,0.014791475160152816,1.111021852664948,217,0.20018450184501846
2021-02-02,City,Yes,0.04731420137444364,0.013955890944956487,2.566618689327952,29,0.026220614828209764
2021-02-02,City,No,0.9526857986255564,0.013955890944956487,2.566618689327952,566,0.5117540687160941
2021-02-02,Town,Yes,0.11218085376057704,0.05086751690431286,5.741577618463744,16,0.014466546112115732
2021-02-02,Town,No,0.8878191462394229,0.05086751690431286,5.741577618463744,206,0.18625678119349007
2021-02-02,Village or rural area,Yes,0.04558238303900038,0.020068870628850426,2.666271423718014,10,0.009041591320072333
2021-02-02,Village or rural area,No,0.9544176169609996,0.02006887062885043,2.666271423718015,279,0.2522603978300181
2021-02-03,City,Yes,0.08567725733711588,0.01668876529992175,4.540217014507724,83,0.03594629709831096
2021-02-03,City,No,0.9143227426628842,0.01668876529992175,4.540217014507724,1195,0.5175400606323084
